Egamma(eV)        Ampiezza         Centro     Err_Centro          Sigma      Err_Sigma        FWHM(%)         Eff(%)   FWHM_Pois(%)
      1000        6824.09        36.5157      0.0126647        2.71007     0.00859951        17.4409         92.924        16.5486
      1500        3710.67        55.0424      0.0190068        3.34649      0.0133156        14.2876         62.578        13.4788
      2000        4681.69        73.2105      0.0182716        3.90414       0.012696         12.532         92.454        11.6873
      2500        3487.63        91.7742      0.0223629        4.37745      0.0154448         11.209          77.31        10.4385
      3000        2472.24        110.266        0.02793         4.8094      0.0197612        10.2499         60.396        9.52312
      3500        1719.94        128.837      0.0347814        5.20518      0.0244656        9.49429         45.736        8.81007
      4000        1221.55        147.301      0.0431557        5.57795      0.0292139         8.8989         35.048        8.23943
      4500        892.078        165.835      0.0514269        5.88626      0.0377903        8.34126         27.158        7.76537
      5000        643.431        184.378      0.0625759        6.27617      0.0439933        7.99931         21.088        7.36453
      5500         470.45        202.915      0.0747418        6.55385      0.0558733        7.59016         16.262         7.0201
      6000        364.902         221.42      0.0445513        6.83218      0.0594376        7.25122         13.272        6.72035
      6500        279.183        239.998       0.100985        7.09066      0.0703286          6.943         10.778          6.455
      7000        223.606        258.444       0.115218        7.30725      0.0818095        6.64438           8.91        6.22037
      7500        177.382        276.867       0.130988        7.58257      0.0937816        6.43595          7.482        6.00986
      8000        141.202        295.537       0.149939        7.87824       0.106207        6.26448           6.27        5.81693
      8500        117.474        313.918       0.166932        7.93856       0.113069        5.94283          5.318        5.64407
      9000        94.7741        332.402       0.186732        8.09289       0.144161        5.72147          4.512         5.4849
      9500         73.979        350.559       0.221769        8.65521       0.171421        5.80209          3.812        5.34096
     10000        65.6718        369.243       0.232469        8.61673       0.180098          5.484          3.474        5.20408
     10500        55.9219        387.925       0.261258        9.17203       0.197243         5.5563          3.078        5.07722
     11000        46.8875        406.169       0.286505        9.21203       0.224621        5.32987          2.718        4.96188
     11500         40.343        424.331       0.308865         9.1042       0.258574        5.04202          2.328        4.85453
     12000        32.3379        442.732       0.358034        9.59748       0.299141         5.0943          2.104        4.75258
     12500        27.9248        462.451       0.397613        10.0095       0.325869        5.08647          1.914        4.65015
     13000        25.1696          480.5        0.40583        9.84313       0.354476        4.81402          1.696        4.56198
     13500        21.4579        499.189       0.442116        9.57774       0.369664        4.50886           1.55        4.47577
     14000        17.9996         517.94       0.499962        10.0259       0.409488        4.54897          1.362          4.394
     15000        352.438        25.3293      0.0513588        2.31315      0.0385446        21.4609          7.656        19.8696
     15500        253.047        43.8072      0.0700505        2.99709      0.0453384        16.0776           7.33        15.1087
     16000        189.289        62.2063      0.0882009        3.67319      0.0641567        13.8764           6.57        12.6789
     16500        160.415        80.7205        0.10203        4.08619      0.0738439        11.8961           6.21        11.1303
     17000         126.88        99.2227       0.120483        4.55686      0.0887325        10.7925          5.534        10.0391
     17500        107.831        117.954       0.139122        5.10749       0.115202        10.1756          5.344        9.20753
     18000        94.6071        136.434       0.151243        5.31506       0.109672        9.15489          4.874        8.56128
     18500        80.5912        154.517       0.170131        5.71663       0.119832        8.69423          4.592        8.04473
     19000        69.1532        173.374       0.192948        6.21344       0.151775        8.42202          4.358        7.59466
     19500         60.187        191.538        0.21222        6.51328       0.168635        7.99123          3.824        7.22558
     20000        54.9124        210.349       0.219026         6.5271       0.178927        7.29203          3.648        6.89493
     20500        47.1615        228.575       0.248323        6.97337       0.200171        7.16938          3.464        6.61432
     21000        44.7903        247.529       0.261612        7.31267       0.216705        6.94252           3.39        6.35604
     21500        34.9573        266.227       0.313319        7.67706        0.24832        6.77659           3.01        6.12878
     22000        36.3856        284.989       0.293042        7.34744       0.245902        6.05864          2.946         5.9236
     22500        26.0045        302.557       0.369401        8.28389       0.346491        6.43421          2.632        5.74905
     23000        25.9831        321.482       0.360247        7.94662       0.281902         5.8089            2.5        5.57727
     23500        24.3933        339.688       0.394696         8.6072         0.3374        5.95456          2.348        5.42575
     24000        22.6217          358.2       0.389835        8.00126       0.338217        5.24929          2.214        5.28369
     24500        19.8592        376.834       0.446213        9.08463       0.358468        5.66532          2.154        5.15139
     25000        17.6098        395.914       0.469662        8.95472       0.390652        5.31519          1.898        5.02573
