Egamma(eV)       Ampiezza         Centro     Err_Centro          Sigma      Err_Sigma        FWHM(%)         Eff(%)   FWHM_Pois(%)
      1000        5743.58        34.9571      0.0141898        2.77393     0.00898626        18.6478         80.342        16.9135
      1500        2474.62        53.4387      0.0234339        3.34998      0.0159344        14.7318         41.958        13.6796
      2000        1156.07          71.85       0.036484        3.80135      0.0254517        12.4331         22.452        11.7974
      2500        601.436        90.2652      0.0534711        4.24405      0.0386745        11.0491         13.178        10.5254
      3000        317.125        108.712      0.0772024        4.68803      0.0562778         10.134           7.78        9.59093
      3500        1385.98        127.886      0.0373914        4.85182      0.0267457        8.91557         37.898        8.84277
      4000        987.438        146.363      0.0457146        5.13392      0.0305049        8.24302         28.644        8.26579
      4500        698.446        164.827      0.0558972        5.46049      0.0407445        7.78522         21.794        7.78908
      5000        516.816        183.214      0.0670873         5.8099      0.0470213        7.45209         17.192        7.38789
      5500        378.638        201.555      0.0806873        6.14509      0.0615379        7.16478         13.548        7.04374
      6000        291.428        220.266      0.0947822        6.38913      0.0689216        6.81652          10.98        6.73793
      6500        219.799        238.604       0.111215        6.69717      0.0804453        6.59601           8.79        6.47383
      7000         170.88        256.886       0.128051        6.85964      0.0891009        6.27523          7.214        6.23922
      7500        138.188          275.8       0.144941        7.13049       0.106708        6.07565          6.164        6.02147
      8000        103.503        293.863       0.170065        7.34533       0.122194          5.874           4.88        5.83348
      8500        85.0608        312.564       0.192673        7.54124       0.144517        5.66985          4.294        5.65627
      9000         69.246        330.685        0.21583        7.71291       0.171996        5.48116          3.552        5.49912
      9500        55.3968        349.488       0.248744        8.08868       0.198274        5.43892          3.084        5.34914
     10000        43.4196        367.986       0.287016        8.20569       0.227721        5.24025           2.57        5.21296
     10500        40.1374        386.179       0.293721        8.06297       0.244845        4.90653           2.36        5.08869
     11000        33.4888        404.127       0.326332        8.46869       0.260644        4.92454          2.152         4.9744
     11500        24.8796        422.102       0.380372        8.69713       0.308116        4.84202          1.784        4.86733
     12000          20.86         441.54       0.444333        9.05232       0.385271        4.81789          1.612        4.75899
     12500        18.2234         459.05       0.479342         8.8032       0.392202        4.50659          1.412        4.66734
     13000        13.4288        478.146       0.556589        9.30814         0.5026        4.57478          1.218         4.5732
     13500        10.8317        498.413       0.707529         10.083        0.77975         4.7541          1.134        4.47925
     14000        8.87384        515.777       0.753437        10.2663       0.749636        4.67758          1.032        4.40321
     14500        9.19763        533.413       0.674746        8.58771       0.705137        3.78339          0.904         4.3298
     15000        6.45258        551.727       0.865314          9.922        1.01972        4.22613          0.768        4.25734
     15500        5.16935        569.498        1.11095        10.8321        1.22755        4.46981          0.744        4.19038
     16000         3.6429        590.412        1.77474        13.9183        2.44012        5.53987            0.7         4.1155
     16500        1.63853        603.966         47.346        75.4023        60.6413        29.3387          0.548        4.06906
     17000        2.06611        697.131        775.618        123.507        151.639        41.6338          0.626        3.78741
     17500        1.87689        642.196        5.40482        20.3375        8.50837        7.44214          0.496        3.94608
     18000        1.63371        663.996        5.61657        21.2816        17.7323        7.53194          0.516        3.88076
     18500        1.37123        665.479        82.3511        92.3702        154.055        32.6186          0.388        3.87644
     19000        1.21268        126.477        168.705        222.919        310.893        414.193          0.406        8.89188
     19500        1.29881        711.262        135.134        88.2583         95.596        29.1604          0.344         3.7496
     20000        1.16658        169.989        167.143        253.142        283.819        349.954           0.36         7.6699
     20500        1.17731        144.683         95.787        195.574        328.001        317.659          0.342        8.31364
     21000        1.21949        108.732        136.186        184.217        308.154        398.145          0.326        9.59008
     21500        1.26732         148.15        74.3115        163.976        296.942        260.105          0.324        8.21579
     22000        1.08394        162.405        908.366        447.813        231.068        647.985          0.246        7.84693
     22500        1.14807        170.976        146.832        223.236        322.476         306.83          0.206        7.64773
     23000        1.16088        171.751         224.89        196.305        317.226        268.596           0.21        7.63046
     23500        1.14088        186.787        89.6402        176.044         335.02        221.484          0.202         7.3169
     24000        1.15133        359.899            659        499.786        258.412        326.341          0.208         5.2712
     24500        1.17796        191.049        48.9869        136.914         118.66        168.411          0.198        7.23482
     25000        1.13488        217.009        1165.42        345.872        437.673        374.547          0.172         6.7883
